Stock,Company Name,Ticker,Market Cap
ROSS STORES, INC. (XNAS:ROST),ROSS STORES, INC.,ROST, $29,524,632,395 
WELLTOWER INC. (XNYS:WELL),WELLTOWER INC.,WELL, $26,819,832,448 
PACCAR INC (XNAS:PCAR),PACCAR INC,PCAR, $31,353,804,196 
VICI PROPERTIES INC. (XNYS:VICI),VICI PROPERTIES INC.,VICI, $28,940,956,670 
CUMMINS INC. (XNYS:CMI),CUMMINS INC.,CMI, $32,821,597,517 
LAS VEGAS SANDS CORP. (XNYS:LVS),LAS VEGAS SANDS CORP.,LVS, $29,855,578,827 
DIGITAL REALTY TRUST, INC. (XNYS:DLR),DIGITAL REALTY TRUST, INC.,DLR, $27,838,319,508 
TRANSDIGM GROUP INCORPORATED (XNYS:TDG),TRANSDIGM GROUP INCORPORATED,TDG, $29,171,738,920 
WEC ENERGY GROUP, INC. (XNYS:WEC),WEC ENERGY GROUP, INC.,WEC, $27,332,399,425 
KEYSIGHT TECHNOLOGIES, INC. (XNYS:KEYS),KEYSIGHT TECHNOLOGIES, INC.,KEYS, $30,209,422,848 
PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED (XNYS:PEG),PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED,PEG, $27,088,103,430 
AMERISOURCEBERGEN CORPORATION (XNYS:ABC),AMERISOURCEBERGEN CORPORATION,ABC, $30,618,239,112 
NUCOR CORPORATION (XNYS:NUE),NUCOR CORPORATION,NUE, $35,487,628,824 
WARNER BROS. DISCOVERY, INC. (XNAS:WBD),WARNER BROS. DISCOVERY, INC.,WBD, $32,748,229,570 
Nasdaq, Inc. (XNAS:NDAQ),Nasdaq, Inc.,NDAQ, $28,363,400,788 
OLD DOMINION FREIGHT LINE, INC. (XNAS:ODFL),OLD DOMINION FREIGHT LINE, INC.,ODFL, $29,109,276,777 
COSTAR GROUP, INC. (XNAS:CSGP),COSTAR GROUP, INC.,CSGP, $29,955,591,840 
Amplifon SpA (XWBO:AMP),Amplifon SpA,AMP, € 7,008,992,000 
CONSTELLATION ENERGY CORPORATION. (XNAS:CEG),CONSTELLATION ENERGY CORPORATION.,CEG, $27,638,040,000 
WALGREENS BOOTS ALLIANCE, INC. (XNAS:WBA),WALGREENS BOOTS ALLIANCE, INC.,WBA, $29,663,089,329 
BAXTER INTERNATIONAL INC. (XNYS:BAX),BAXTER INTERNATIONAL INC.,BAX, $28,418,751,801 
IDEXX LABORATORIES, INC. (XNAS:IDXX),IDEXX LABORATORIES, INC.,IDXX, $28,110,611,805 
Eversource Energy (XNYS:ES),Eversource Energy,ES, $25,148,319,147 
ON SEMICONDUCTOR CORPORATION (XNAS:ON),ON SEMICONDUCTOR CORPORATION,ON, $28,454,966,752 
OTIS WORLDWIDE CORPORATION (XNYS:OTIS),OTIS WORLDWIDE CORPORATION,OTIS, $28,067,268,564 
VERISK ANALYTICS, INC. (XNAS:VRSK),VERISK ANALYTICS, INC.,VRSK, $26,210,750,400 
